location_id,company_location
1,Mauritius
2,Canada
3,United States
4,Germany
5,Nigeria
6,Portugal
7,Honduras
8,France
9,Austria
10,Spain
11,United Kingdom
12,Mexico
13,Netherlands
14,United Arab Emirates
15,Japan
16,Hungary
17,New Zealand
18,India
19,Greece
20,Denmark
21,Italy
22,Luxembourg
23,Croatia
24,Ghana
25,Singapore
26,Bahamas
27,Australia
28,Thailand
29,Philippines
30,Slovenia
31,Czechia
32,Brazil
33,Romania
34,Iraq
35,Belgium
36,Russia
37,Poland
38,China
39,TÃ¼rkiye
40,Colombia
41,Chile
42,Moldova
43,American Samoa
44,Israel
45,Malta
46,Ireland
47,Switzerland
48,Pakistan
49,Lithuania
50,Iran
51,Puerto Rico
52,Finland
53,Argentina
54,Indonesia
55,Egypt
56,Malaysia
57,Estonia
58,Algeria
59,Oman
60,South Africa
61,Vietnam
62,Gibraltar
63,Ukraine
64,Latvia
65,South Korea
66,Qatar
67,Kenya
68,Sweden
69,Andorra
70,Ecuador
71,Saudi Arabia
72,Norway
73,Hong Kong
74,Central African Republic
75,Armenia
76,Bosnia and Herzegovina
77,Bulgaria
78,Venezuela
79,Slovakia
80,Serbia
81,Lebanon
